time,summary,sunriseTime,sunsetTime,moonPhase,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windBearing,windGust,windGustTime,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
883587600,Partly cloudy throughout the day.,883609978,883651381,0.09,rain,33.03,883638000,21.02,883695600,34.64,883638000,21.63,883695600,20.36,0.69,1012.37,4.12,100,,,0.32,7,883630800,,22.02,883609200,33.03,883638000,22.59,883609200,34.64,883638000
883674000,Partly cloudy throughout the day.,883696401,883737813,0.12,rain,33.03,883724400,21.02,883778400,34.64,883724400,21.63,883778400,20.52,0.69,1013.01,5.83,103,,,0.33,7,883713600,,21.02,883695600,33.03,883724400,21.63,883695600,34.64,883724400
883760400,Partly cloudy throughout the day.,883782824,883824245,0.16,rain,33.03,883814400,23.71,883872000,34.91,883818000,24.3,883857600,20.47,0.69,1013.36,2.66,121,,,0.34,7,883800000,,21.02,883778400,33.03,883814400,21.63,883778400,34.91,883818000
883846800,Partly cloudy throughout the day.,883869245,883910677,0.2,rain,32.32,883904400,23.71,883944000,35.83,883890000,24.29,883944000,21.31,0.71,1013.15,1.42,61,,,0.4,7,883886400,,23.71,883872000,32.32,883904400,24.3,883857600,35.83,883890000
883933200,Humid and partly cloudy throughout the day.,883955666,883997109,0.23,rain,33.51,883980000,22.82,884034000,37,883980000,23.37,884034000,21.65,0.71,1013.28,2.03,88,,,0.39,7,883972800,,23.71,883944000,33.51,883980000,24.29,883944000,37,883980000
884019600,Partly cloudy throughout the day.,884042086,884083541,0.27,rain,34.01,884070000,23.01,884124000,36.5,884070000,23.68,884124000,20.58,0.66,1012.92,3.78,107,,,0.38,7,884059200,,22.82,884034000,34.01,884070000,23.37,884034000,36.5,884070000
884106000,Partly cloudy throughout the day.,884128506,884169974,0.31,rain,33.23,884152800,23.71,884214000,37.07,884156400,24.28,884203200,21.49,0.7,1013.08,4.31,114,,,0.38,6,884152800,,23.01,884124000,33.23,884152800,23.68,884124000,37.07,884156400
884192400,Humid and partly cloudy throughout the day.,884214924,884256406,0.35,rain,33.41,884239200,23.7,884300400,37.63,884239200,24.28,884289600,21.61,0.69,1011.88,4.26,89,,,0.36,7,884232000,,23.71,884214000,33.41,884239200,24.28,884203200,37.63,884239200
884278800,Humid and partly cloudy throughout the day.,884301342,884342838,0.38,rain,35.13,884325600,23.71,884376000,38.36,884325600,24.27,884376000,21.74,0.67,1010.63,8.55,111,,,0.33,7,884322000,,23.7,884300400,35.13,884325600,24.28,884289600,38.36,884325600
884365200,Partly cloudy throughout the day.,884387759,884429270,0.42,rain,34.01,884415600,23.39,884469600,38.29,884419200,23.97,884469600,21.26,0.68,1010.93,6.97,121,,,0.36,6,884404800,,23.71,884376000,34.01,884415600,24.27,884376000,38.29,884419200
884451600,Humid and partly cloudy throughout the day.,884474175,884515701,0.45,rain,34.01,884502000,23.72,884548800,38.29,884502000,24.27,884548800,21.83,0.71,1011.16,5.79,136,,,0.36,7,884494800,,23.39,884469600,34.01,884502000,23.97,884469600,38.29,884502000
